"week_date","week_number","month_number","calendar_year","region","platform","segment","age_band","demographic","customer_type","transactions","sales","avg_transaction"
"2020-08-31",36,8,2020,"ASIA","Retail","C3","Retires","Couples","New",120631,3656163,"30.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F1","Young Adults","Families","New",31574,996575,"31.00"
"2020-08-31",36,8,2020,"USA","Retail","unknown","unknown","unknown","Guest",529151,16509610,"31.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C1","Young Adults","Couples","New",4517,141942,"31.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C2","Middle Aged","Couples","New",58046,1758388,"30.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F2","Middle Aged","Families","Existing",1336,243878,"182.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F3","Retires","Families","Existing",2514,519502,"206.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F1","Young Adults","Families","Existing",2158,371417,"172.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F2","Middle Aged","Families","New",318,49557,"155.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C3","Retires","Couples","New",111032,3888162,"35.00"
"2020-08-31",36,8,2020,"USA","Shopify","F1","Young Adults","Families","Existing",1398,260773,"186.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C2","Middle Aged","Couples","Existing",4661,882690,"189.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C2","Middle Aged","Couples","Existing",1029,38762,"37.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C4","Retires","Couples","New",6,917,"152.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F3","Retires","Families","Existing",115,35215,"306.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F3","Retires","Families","Existing",551905,30371770,"55.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C3","Retires","Couples","Existing",1969,374327,"190.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F1","Young Adults","Families","Existing",97604,5185233,"53.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C2","Middle Aged","Couples","New",111219,2980673,"26.00"
"2020-08-31",36,8,2020,"USA","Retail","F1","Young Adults","Families","New",11820,463738,"39.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F3","Retires","Families","Existing",1363,65730,"48.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C3","Retires","Couples","Existing",284971,14430196,"50.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F2","Middle Aged","Families","New",70496,2176980,"30.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F1","Young Adults","Families","Existing",2678,478756,"178.00"
"2020-08-31",36,8,2020,"USA","Shopify","C4","Retires","Couples","New",22,3319,"150.00"
"2020-08-31",36,8,2020,"CANADA","Retail","F3","Retires","Families","Existing",94274,5306746,"56.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F1","Young Adults","Families","Existing",94287,4511841,"47.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","unknown","unknown","unknown","New",3064,134249,"43.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F1","Young Adults","Families","New",7,1579,"225.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C4","Retires","Couples","New",329,11451,"34.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F1","Young Adults","Families","Existing",854,31589,"36.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C2","Middle Aged","Couples","Existing",180,53567,"297.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F2","Middle Aged","Families","New",15,4023,"268.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C2","Middle Aged","Couples","Existing",112361,4768214,"42.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C2","Middle Aged","Couples","Existing",2269,396909,"174.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C4","Retires","Couples","New",58,8562,"147.00"
"2020-08-31",36,8,2020,"USA","Retail","F3","Retires","Families","Existing",142898,8723663,"61.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C3","Retires","Couples","Existing",4703,957939,"203.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","unknown","unknown","unknown","New",40,7625,"190.00"
"2020-08-31",36,8,2020,"USA","Shopify","C1","Young Adults","Couples","New",164,20635,"125.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C1","Young Adults","Couples","New",20,2265,"113.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C1","Young Adults","Couples","Existing",14583,633917,"43.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F2","Middle Aged","Families","New",452,72293,"159.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","F2","Middle Aged","Families","New",382,13839,"36.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C3","Retires","Couples","Existing",1503,68009,"45.00"
"2020-08-31",36,8,2020,"CANADA","Retail","F1","Young Adults","Families","New",7033,269176,"38.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","unknown","unknown","unknown","Existing",329,10874,"33.00"
"2020-08-31",36,8,2020,"CANADA","Retail","F1","Young Adults","Families","Existing",24153,1306932,"54.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","unknown","unknown","unknown","Existing",15,3507,"233.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F3","Retires","Families","Existing",18676,1144376,"61.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C3","Retires","Couples","New",19,3325,"175.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","unknown","unknown","unknown","Existing",87,15074,"173.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C4","Retires","Couples","Existing",29577,1473178,"49.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F1","Young Adults","Families","New",41631,1369115,"32.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F3","Retires","Families","Existing",402652,20255591,"50.00"
"2020-08-31",36,8,2020,"ASIA","Retail","unknown","unknown","unknown","Guest",1936351,48773122,"25.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C2","Middle Aged","Couples","New",413,55780,"135.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","F3","Retires","Families","New",4,554,"138.00"
"2020-08-31",36,8,2020,"USA","Retail","C2","Middle Aged","Couples","Existing",43493,2126153,"48.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C2","Middle Aged","Couples","Existing",169157,6603287,"39.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","unknown","unknown","unknown","Guest",5893,1026838,"174.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C3","Retires","Couples","Existing",245151,11086427,"45.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C4","Retires","Couples","Existing",119,19049,"160.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F2","Middle Aged","Families","Existing",2983,564306,"189.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F3","Retires","Families","Existing",32,7331,"229.00"
"2020-08-31",36,8,2020,"USA","Retail","F1","Young Adults","Families","Existing",40076,2272687,"56.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C4","Retires","Couples","Existing",7,1562,"223.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","unknown","unknown","unknown","New",88,12836,"145.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C4","Retires","Couples","New",46545,1548637,"33.00"
"2020-08-31",36,8,2020,"USA","Shopify","C2","Middle Aged","Couples","New",228,45518,"199.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Retail","C3","Retires","Couples","New",1045,37786,"36.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","C4","Retires","Couples","Existing",279,48624,"174.00"
"2020-08-31",36,8,2020,"ASIA","Retail","unknown","unknown","unknown","New",66042,2156778,"32.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","C4","Retires","Couples","Existing",117018,5941067,"50.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F1","Young Adults","Families","Existing",6769,395877,"58.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F3","Retires","Families","Existing",403810,22712143,"56.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F1","Young Adults","Families","Existing",74,16149,"218.00"
"2020-08-31",36,8,2020,"CANADA","Retail","F2","Middle Aged","Families","Existing",61517,3322211,"54.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F3","Retires","Families","New",1655,66422,"40.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","F1","Young Adults","Families","New",201,27184,"135.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","unknown","unknown","unknown","Guest",5794,979807,"169.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","F1","Young Adults","Families","New",23416,833470,"35.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F1","Young Adults","Families","Existing",144056,7178808,"49.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C4","Retires","Couples","Existing",151673,7422165,"48.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C1","Young Adults","Couples","Existing",585,91616,"156.00"
"2020-08-31",36,8,2020,"CANADA","Retail","F2","Middle Aged","Families","New",18180,661362,"36.00"
"2020-08-31",36,8,2020,"CANADA","Retail","C1","Young Adults","Couples","New",30402,786613,"25.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C1","Young Adults","Couples","Existing",69,11755,"170.00"
"2020-08-31",36,8,2020,"USA","Retail","C2","Middle Aged","Couples","New",26620,883573,"33.00"
"2020-08-31",36,8,2020,"AFRICA","Retail","unknown","unknown","unknown","New",58165,2232935,"38.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C1","Young Adults","Couples","New",97,12438,"128.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F2","Middle Aged","Families","Existing",37,8473,"229.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C2","Middle Aged","Couples","New",2857,104677,"36.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C4","Retires","Couples","New",65594,2016930,"30.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C2","Middle Aged","Couples","Existing",9710,461694,"47.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C4","Retires","Couples","New",3,1221,"407.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","C3","Retires","Couples","New",567,95547,"168.00"
"2020-08-31",36,8,2020,"USA","Retail","C1","Young Adults","Couples","New",36069,990085,"27.00"
"2020-08-31",36,8,2020,"ASIA","Retail","F2","Middle Aged","Families","Existing",220712,10624187,"48.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","unknown","unknown","unknown","Guest",11218,2078649,"185.00"
"2020-08-31",36,8,2020,"USA","Shopify","C3","Retires","Couples","New",205,33536,"163.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C1","Young Adults","Couples","New",299,35957,"120.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","F1","Young Adults","Families","New",953,40760,"42.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","C2","Middle Aged","Couples","New",45,8917,"198.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C3","Retires","Couples","Existing",846,154393,"182.00"
"2020-08-31",36,8,2020,"USA","Retail","C1","Young Adults","Couples","Existing",57648,2393490,"41.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C1","Young Adults","Couples","New",21,3288,"156.00"
"2020-08-31",36,8,2020,"SOUTH AMERICA","Shopify","F2","Middle Aged","Families","New",9,1437,"159.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F3","Retires","Families","New",190,30264,"159.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C3","Retires","Couples","Existing",2647,530397,"200.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C4","Retires","Couples","New",21,2494,"118.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","F2","Middle Aged","Families","New",91435,3101538,"33.00"
"2020-08-31",36,8,2020,"EUROPE","Retail","C3","Retires","Couples","New",3843,158799,"41.00"
"2020-08-31",36,8,2020,"USA","Retail","F3","Retires","Families","New",28987,1096531,"37.00"
"2020-08-31",36,8,2020,"ASIA","Shopify","F2","Middle Aged","Families","New",245,35519,"144.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C3","Retires","Couples","Existing",339633,16520774,"48.00"
"2020-08-31",36,8,2020,"EUROPE","Shopify","C3","Retires","Couples","Existing",182,45036,"247.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","F3","Retires","Families","Existing",659,126801,"192.00"
"2020-08-31",36,8,2020,"AFRICA","Shopify","C3","Retires","Couples","New",340,56734,"166.00"
"2020-08-31",36,8,2020,"ASIA","Retail","C1","Young Adults","Couples","Existing",187781,6218547,"33.00"
"2020-08-31",36,8,2020,"OCEANIA","Shopify","F2","Middle Aged","Families","Existing",6870,1373529,"199.00"
"2020-08-31",36,8,2020,"OCEANIA","Retail","C1","Young Adults","Couples","New",172521,3964262,"22.00"
"2020-08-31",36,8,2020,"CANADA","Shopify","C2","Middle Aged","Couples","New",105,14694,"139.00"
